date,open,high,low,close,volume
03/02/2020,42.147,42.846,42.147,42.4894,2053616
04/02/2020,42.8983,43.1646,42.632,42.6701,1351561
05/02/2020,42.9363,43.4974,42.6463,43.4784,2279312
06/02/2020,43.602,44.3723,43.602,43.8778,1309919
07/02/2020,43.8207,44.0395,43.5354,43.8873,783066
10/02/2020,43.9158,44.5435,43.7922,44.4864,1277031
11/02/2020,44.572,45.5943,44.572,45.4089,1781017
12/02/2020,44.9524,45.1426,43.7732,44.7337,1595004
13/02/2020,44.6956,45.4944,44.4864,45.4849,1286091
14/02/2020,45.4944,45.6273,44.9286,45.3423,1044539
18/02/2020,45.2852,45.6181,45.2472,45.542,1223330
19/02/2020,45.6466,45.9509,45.5135,45.8178,1077597
20/02/2020,45.8368,45.8368,45.2757,45.5515,1720867
21/02/2020,45.4564,45.6371,44.7051,44.8097,1346716
24/02/2020,43.9063,44.4864,43.3928,43.4118,1352739
25/02/2020,43.4689,43.5973,42.1851,42.2136,1178131
26/02/2020,42.4323,42.8222,41.624,41.681,1364598
27/02/2020,41.0819,41.6906,40.2546,40.3402,2299208
28/02/2020,39.1895,39.646,37.8391,38.4477,2915190
02/03/2020,38.5143,40.4543,38.2861,40.4067,1657685
03/03/2020,40.5114,40.9108,39.161,39.5794,1045742
04/03/2020,40.0454,40.9964,39.665,40.9678,997870
05/03/2020,39.9883,40.188,38.7045,39.1515,1047350
06/03/2020,37.8201,38.9232,37.4587,38.7045,1534170
09/03/2020,35.7565,36.5315,34.3443,34.8531,1661486
10/03/2020,36.0133,36.2225,34.4727,35.9752,1846296
11/03/2020,34.7485,35.281,33.6881,34.1208,1928266
12/03/2020,31.5342,32.2141,28.881,29.1758,3018005
13/03/2020,30.7924,31.2394,28.8905,31.1633,3214581
16/03/2020,28.5672,28.8239,25.7428,25.9044,2925098
17/03/2020,26.3704,29.0236,24.6741,28.7383,3716695
18/03/2020,26.4465,27.5972,24.7918,26.1422,5941737
19/03/2020,25.6762,27.1978,25.2245,25.7333,3775108
20/03/2020,25.6762,26.2563,24.2973,24.6967,4155223
23/03/2020,24.4114,24.4114,21.4349,22.1196,3341166
24/03/2020,23.4509,24.7157,23.1086,24.3449,4464839
25/03/2020,24.7252,25.1151,23.4509,24.459,6410088
26/03/2020,24.9154,28.5957,24.2783,28.2153,3721408
27/03/2020,26.8364,28.7003,26.7223,27.6447,3075057
30/03/2020,27.7208,29.1282,26.6652,29.0426,2062692
31/03/2020,28.6813,28.6813,26.651,27.0646,5587108
01/04/2020,25.933,26.0851,24.2783,24.7443,1982189
02/04/2020,24.4114,25.8949,24.4114,25.0296,2276391
03/04/2020,24.7157,25.2007,23.2512,23.4034,2294060
06/04/2020,24.7443,26.0376,24.6872,25.7047,2900969
07/04/2020,27.2738,27.7303,26.2183,26.5131,2842944
08/04/2020,26.7413,27.6184,26.1041,27.2834,1807023
09/04/2020,27.892,29.6418,27.6752,29.4801,2283707
13/04/2020,29.2328,29.2328,27.5591,27.7874,1102951
14/04/2020,28.3199,28.9856,27.4545,27.8159,3814821
15/04/2020,27.3499,27.3499,25.971,26.0091,1815943
16/04/2020,25.7618,25.8949,24.7538,25.1912,3566703
17/04/2020,26.2373,26.6652,25.4147,25.8189,2150122
20/04/2020,25.1627,25.486,24.5873,25.3909,1866232
21/04/2020,24.4495,24.8013,23.9454,24.0501,1998017
22/04/2020,24.5826,24.7538,23.6554,23.6792,1992008
23/04/2020,23.8123,24.1547,23.0373,23.0706,1509710
24/04/2020,23.3368,23.5128,22.3098,22.4809,1955996
27/04/2020,22.8043,23.6316,22.5951,23.4414,3080481
28/04/2020,23.8694,24.2857,23.0991,23.5365,2220290
29/04/2020,24.2688,24.7252,23.8599,24.3258,1735562
30/04/2020,23.6697,23.8408,22.8328,22.8518,2052202
01/05/2020,22.2812,22.4762,21.6774,21.9769,2156454
04/05/2020,21.8153,22.8518,21.3113,22.6331,2242258
05/05/2020,23.4319,24.4019,22.5285,22.576,3510361
06/05/2020,22.6711,23.0896,22.1766,22.2717,2981363
07/05/2020,22.6426,23.6697,22.6426,23.4985,3098001
08/05/2020,23.9074,24.7347,23.6982,24.6777,3114319
11/05/2020,24.3449,24.4399,23.9264,24.0215,2390825
12/05/2020,23.9169,24.0976,22.4714,22.4905,2466272
13/05/2020,22.6521,22.6521,20.9784,21.1496,2321833
14/05/2020,20.7026,21.8438,19.9038,21.7297,2519853
15/05/2020,21.587,21.9104,21.1306,21.8533,2631465
18/05/2020,22.6997,23.3654,22.6997,23.1656,1811194
19/05/2020,22.9469,23.3321,22.519,23.0848,2368794
20/05/2020,23.1181,25.4385,22.9279,25.2388,3960282
21/05/2020,25.2388,26.3324,24.8346,26.1041,3938515
22/05/2020,26.4085,27.1787,26.1897,26.9125,3130726
26/05/2020,28.2914,28.6242,27.4735,27.9443,2573701
27/05/2020,29.0046,29.2424,28.0299,28.453,2916090
28/05/2020,28.7288,28.8429,27.388,27.6162,2077802
29/05/2020,27.1502,27.4212,26.5321,26.8364,8330471
01/06/2020,27.0551,27.8444,26.5036,27.6732,2089214
02/06/2020,27.9585,29.1282,27.6923,28.8905,3248315
03/06/2020,29.5752,31.1871,29.423,30.7639,2392781
04/06/2020,30.7924,31.3535,30.355,31.1823,2381949
05/06/2020,33.2269,33.75,32.5612,33.265,3437882
08/06/2020,33.9687,34.0067,33.1794,33.9021,1825940
09/06/2020,32.8846,33.2269,32.5517,32.6944,1520979
10/06/2020,32.1143,32.3035,31.0872,31.2489,2500760
11/06/2020,29.9556,30.5167,28.7478,28.8144,2310622
12/06/2020,30.1838,30.336,28.5006,29.1092,2318774
15/06/2020,27.9966,29.6893,27.8539,29.4135,1914715
16/06/2020,30.9446,32.1713,29.3089,29.6893,2891570
17/06/2020,29.6322,29.9651,29.1473,29.2043,1576734
18/06/2020,28.7288,29.4801,28.5818,29.0522,2351806
19/06/2020,29.6418,29.6418,27.892,27.892,5111616
22/06/2020,27.7113,28.7669,27.3975,28.2533,2695765
23/06/2020,28.7859,28.862,27.9206,28.1107,1737429
24/06/2020,28.1107,28.2629,26.7318,27.0551,2497287
25/06/2020,26.6367,27.5877,26.6367,27.464,1555723
26/06/2020,27.1787,27.5401,26.2848,26.3419,4415278
29/06/2020,26.6652,27.1645,26.2753,26.979,1438481
30/06/2020,26.7793,27.5258,26.7793,27.2453,2007726
01/07/2020,27.2929,27.6067,26.6034,26.7698,1278965
02/07/2020,27.464,27.93,26.6272,26.7128,1286074
06/07/2020,27.388,27.7398,26.8839,27.1027,1207004
07/07/2020,26.9125,26.9125,26.0851,26.1612,1327087
08/07/2020,26.0281,26.6842,25.6762,26.2943,2009262
09/07/2020,26.1422,26.437,24.9345,25.7142,1792486
10/07/2020,25.8093,26.9125,25.5906,26.8459,1826572
13/07/2020,27.3689,27.6352,26.7033,26.903,2312021
14/07/2020,26.8744,27.7731,26.8174,27.4831,2015786
15/07/2020,28.1773,28.9856,27.8825,28.8525,2510965
16/07/2020,28.7003,29.7416,28.5291,29.3089,1899984
17/07/2020,29.2519,29.3089,28.9095,29.1853,1735147
20/07/2020,28.9951,29.0522,28.3817,28.5672,1483268
21/07/2020,29.7279,29.7279,28.6908,28.938,1929239
22/07/2020,28.6337,29.3042,28.5422,29.2328,1034198
23/07/2020,29.2424,29.7654,28.9476,29.6608,1806969
24/07/2020,29.6703,29.6703,29.1663,29.3374,1617396
27/07/2020,29.0997,29.1996,28.3675,28.6527,1436479
28/07/2020,28.7859,29.0902,28.5957,28.6242,1342345
29/07/2020,28.5767,29.4421,28.4721,29.347,1511582
30/07/2020,28.5672,30.2314,28.4816,29.5847,2464511
31/07/2020,29.5847,29.6703,28.5101,29.2424,1930909
03/08/2020,29.2899,29.6418,28.9285,29.4278,1296085
04/08/2020,29.5338,29.5847,28.7859,28.8762,1311412
05/08/2020,29.0331,29.5704,28.9856,29.3089,1403391
06/08/2020,29.0902,29.7844,29.0712,29.7844,1699021
07/08/2020,29.6513,30.9446,29.4421,30.897,1415525
10/08/2020,31.0587,31.5627,30.8067,31.1253,1590076
11/08/2020,31.8005,32.0287,31.092,31.2394,1631416
12/08/2020,31.5912,31.6388,30.8685,31.0016,1243431
13/08/2020,30.878,31.1063,30.412,30.7734,694697
14/08/2020,30.4691,30.9541,30.355,30.6688,764717
17/08/2020,30.6593,30.6593,29.9318,30.2028,1479794
18/08/2020,30.2504,30.4311,29.8795,30.0317,875661
19/08/2020,30.0602,30.4216,29.6703,29.8605,894238
20/08/2020,29.5372,30.0887,29.4135,29.8605,800456
